timestamp,tower_id,users_connected,download_speed,upload_speed,latency,weather,congestion
2025-01-01 00:00:00,1,152,80.67158375172212,9.988304703442026,158.14129005182616,Clear,0
2025-01-01 01:00:00,1,171,19.81947943193925,3.8460969962417737,174.57346769723767,Clear,0
2025-01-01 02:00:00,1,713,66.83440493014103,3.7641673723279125,147.1797667306967,Snow,0
2025-01-01 03:00:00,1,435,22.27337188467456,9.986820982818257,67.80602616231216,Clear,0
2025-01-01 04:00:00,1,797,7.190930378934497,26.713958352661066,85.97358462589854,Clear,0
2025-01-01 05:00:00,1,749,39.804375112900715,23.34742922663476,159.18343266467258,Clear,0
2025-01-01 06:00:00,1,616,98.40693415164488,23.871381769151018,173.38867727990092,Clear,0
2025-01-01 07:00:00,1,890,11.179901333601554,47.49539132541333,193.47008628416629,Rain,1
2025-01-01 08:00:00,1,826,6.5167939609203485,12.3137974554853,55.79483854494222,Clear,0
2025-01-01 09:00:00,1,477,52.04180646057067,2.6850375346457014,182.77087639496858,Clear,0
2025-01-01 10:00:00,1,921,76.75933398017699,21.83263785007099,49.508915944955874,Clear,0
2025-01-01 11:00:00,1,526,97.11053963763307,38.98150834469461,188.50479889719594,Snow,0
2025-01-01 12:00:00,1,319,74.09083960635998,17.000497671485935,118.38435513702589,Clear,0
2025-01-01 13:00:00,1,751,35.90638142251011,20.045187194784617,61.556316037040226,Rain,0
2025-01-01 14:00:00,1,971,96.69925419009311,30.74467813664755,62.439844584283236,Clear,0
2025-01-01 15:00:00,1,862,12.082311149578228,49.35745989342535,156.7265061663649,Clear,1
2025-01-01 16:00:00,1,521,6.3375831579330235,10.743277800351454,145.1549710222435,Rain,0
2025-01-01 17:00:00,1,428,12.034241914738583,18.564820698669358,32.01512130977464,Snow,0
2025-01-01 18:00:00,1,889,47.69781404312932,5.675095708030154,80.4554679176706,Clear,0
2025-01-01 19:00:00,1,854,74.31258694211608,32.240316096405444,178.57042108950205,Clear,1
2025-01-01 20:00:00,1,662,97.31264906196486,42.59677738903811,147.1286090213259,Clear,0
2025-01-01 21:00:00,1,447,51.91058165461712,26.61390863971771,91.23279348812443,Clear,0
2025-01-01 22:00:00,1,510,24.163324221862638,44.89241618800245,100.32034240460123,Clear,0
